Players,Rounds,Winners
1,74,1
1,68,1
1,72,1
1,74,1
1,73,1
1,72,1
1,74,1
1,69,1
1,71,1
1,74,1
1,74,1
1,73,1
1,73,1
1,73,1
1,71,1
1,70,1
1,62,1
1,70,1
1,71,1
1,74,1
1,74,1
1,71,1
1,62,1
1,73,1
1,73,1
1,74,1
1,73,1
1,74,1
1,73,1
1,74,1
1,73,1
1,74,1
1,74,1
1,74,1
1,68,1
1,72,1
1,74,1
1,73,1
1,74,1
1,74,1
1,73,1
1,67,1
1,74,1
1,70,1
1,73,1
1,73,1
1,69,1
1,71,1
1,74,1
1,72,1
1,69,1
1,74,1
1,73,1
1,73,1
1,68,1
1,72,1
1,74,1
1,74,1
1,73,1
1,73,1
1,73,1
1,74,1
1,72,1
1,74,1
1,72,1
1,66,1
1,74,1
1,69,1
1,74,1
1,74,1
1,74,1
1,73,1
1,71,1
1,74,1
1,71,1
1,74,1
1,68,1
1,71,1
1,71,1
1,73,1
1,74,1
1,70,1
1,73,1
1,65,1
1,71,1
1,74,1
1,74,1
1,68,1
1,72,1
1,74,1
1,73,1
1,74,1
1,64,1
1,74,1
1,74,1
1,74,1
1,72,1
1,73,1
1,70,1
1,70,1
1,64,1
1,71,1
1,73,1
1,74,1
1,72,1
1,72,1
1,74,1
1,73,1
1,72,1
1,72,1
1,71,1
1,73,1
1,74,1
1,70,1
1,74,1
1,74,1
1,72,1
1,74,1
1,74,1
1,72,1
1,74,1
1,73,1
1,74,1
1,74,1
1,74,1
1,69,1
1,73,1
1,74,1
1,69,1
1,74,1
1,69,1
1,69,1
1,72,1
1,73,1
1,73,1
1,67,1
1,74,1
1,71,1
1,72,1
1,74,1
1,74,1
1,73,1
1,73,1
1,74,1
1,72,1
1,73,1
1,74,1
1,74,1
1,71,1
1,71,1
1,71,1
1,73,1
1,68,1
1,74,1
1,72,1
1,74,1
1,70,1
1,74,1
1,73,1
1,73,1
1,67,1
1,74,1
1,71,1
1,74,1
1,74,1
1,72,1
1,71,1
1,70,1
1,74,1
1,71,1
1,70,1
1,74,1
1,73,1
1,74,1
1,74,1
1,71,1
1,73,1
1,71,1
1,73,1
1,73,1
1,69,1
1,73,1
1,68,1
1,71,1
1,74,1
1,70,1
1,73,1
1,70,1
1,71,1
1,72,1
1,71,1
1,69,1
1,74,1
1,72,1
1,73,1
1,73,1
1,73,1
1,74,1
1,74,1
1,74,1
1,69,1
1,73,1
1,73,1
1,70,1
1,71,1
1,72,1
1,68,1
1,73,1
1,73,1
1,74,1
1,73,1
1,74,1
1,74,1
1,74,1
1,73,1
1,70,1
1,71,1
1,72,1
1,72,1
1,73,1
1,74,1
1,71,1
1,73,1
1,69,1
1,74,1
1,73,1
1,74,1
1,74,1
1,73,1
1,74,1
1,71,1
1,73,1
1,73,1
1,74,1
1,71,1
1,71,1
1,72,1
1,70,1
1,69,1
1,73,1
1,71,1
1,67,1
1,71,1
1,74,1
1,73,1
1,74,1
1,74,1
1,74,1
1,73,1
1,73,1
1,73,1
1,70,1
1,69,1
1,73,1
1,74,1
1,73,1
1,71,1
1,70,1
1,73,1
1,74,1
1,74,1
1,73,1
1,73,1
1,71,1
1,73,1
1,74,1
1,74,1
1,72,1
1,72,1
1,72,1
1,74,1
1,74,1
1,73,1
1,68,1
1,74,1
1,74,1
1,69,1
1,73,1
1,74,1
1,72,1
1,72,1
1,73,1
1,68,1
1,70,1
1,74,1
1,74,1
1,73,1
1,69,1
1,74,1
1,65,1
1,73,1
1,69,1
1,70,1
1,70,1
1,74,1
1,71,1
1,73,1
1,72,1
1,72,1
1,74,1
2,74,2
2,73,1
2,73,1
2,74,2
2,74,2
2,74,2
2,72,1
2,73,1
2,68,1
2,74,2
2,74,2
2,69,1
2,73,2
2,74,2
2,69,1
2,72,1
2,71,1
2,72,1
2,73,1
2,72,1
2,73,2
2,73,1
2,74,2
2,71,1
2,70,1
2,73,1
2,74,2
2,69,1
2,72,1
2,69,1
2,72,1
2,74,2
2,74,2
2,62,1
2,65,1
2,54,1
2,70,1
2,71,1
2,74,2
2,71,2
2,69,1
2,73,1
2,74,2
2,73,2
2,64,1
2,64,1
2,67,1
2,70,1
2,72,1
2,72,1
2,68,1
2,68,1
2,73,1
2,69,1
2,66,1
2,73,1
2,64,1
2,74,2
2,68,1
2,69,1
2,74,2
2,74,2
2,72,1
2,67,1
2,69,1
2,74,2
2,72,2
2,70,1
2,71,1
2,73,2
2,72,2
2,68,1
2,72,1
2,71,1
2,70,1
2,72,1
2,73,1
2,72,1
2,70,1
2,68,1
2,72,2
2,73,2
2,68,1
2,72,1
2,70,1
2,70,1
2,69,1
2,74,2
2,74,2
2,72,1
2,73,2
2,74,2
2,72,1
2,73,2
2,73,1
2,71,1
2,72,1
2,74,2
2,73,2
2,71,1
2,72,1
2,74,2
2,72,2
2,74,2
2,72,2
2,69,1
2,72,2
2,73,1
2,73,1
2,71,1
2,73,2
2,67,1
2,72,1
2,68,1
2,69,2
2,73,1
2,74,2
2,73,2
2,64,1
2,73,1
2,68,1
2,74,2
2,69,1
2,72,1
2,65,1
2,72,1
2,73,1
2,67,1
2,69,1
2,69,1
2,72,1
2,74,2
2,65,1
2,71,1
2,68,1
2,70,1
2,68,1
2,69,1
2,74,2
2,73,1
2,73,1
2,72,1
2,67,1
2,74,2
2,73,2
2,70,1
2,70,1
2,73,1
2,70,1
2,72,1
2,64,1
